,0
0,7.2
1,6.9
2,6.3
3,7.6
4,6.1
5,5.9
6,7.4
7,7.3
8,7.4
9,5.7
10,5.4
11,6.1
12,7.0
13,5.9
14,6.5
15,6.3
16,7.4
17,6.4
18,6.2
19,7.1
20,6.5
21,6.2
22,7.6
23,5.8
24,6.6
25,7.5
26,7.1
27,5.5
28,6.5
29,6.9
30,6.7
31,6.8
32,6.4
33,6.3
34,7.0
35,6.0
36,5.8
37,5.7
38,6.5
39,6.3
40,5.8
41,5.1
42,7.6
43,5.9
44,7.3
45,6.7
46,7.5
47,7.4
48,5.5
49,7.3
50,6.2
51,6.7
52,6.1
53,5.7
54,6.6
55,6.7
56,6.6
57,7.8
58,6.1
59,5.6
60,6.6
61,5.2
62,5.5
63,6.7
64,6.4
65,8.2
66,7.7
67,6.0
68,7.4
69,7.0
70,5.1
71,5.2
72,5.9
73,5.3
74,7.6
75,5.9
76,5.6
77,8.0
78,6.7
79,6.6
80,5.8
81,7.0
82,7.3
83,4.8
84,5.9
85,7.6
86,6.0
87,6.2
88,7.8
89,7.1
90,6.4
91,4.9
92,7.5
93,5.9
94,7.9
95,8.1
96,8.1
97,6.5
98,7.0
99,6.6
100,7.3
101,7.1
102,6.6
103,5.8
104,5.5
105,6.5
106,6.0
107,6.3
108,5.8
109,6.2
110,6.6
111,6.6
112,5.6
113,7.4
114,7.5
115,6.2
116,6.9
117,6.7
118,7.5
119,7.5
120,6.2
121,5.9
122,6.2
123,6.4
124,7.3
125,6.7
126,6.8
127,7.2
128,6.5
129,6.6
130,6.3
131,5.1
132,5.5
133,5.7
134,7.1
135,5.5
136,5.7
137,6.7
138,4.7
139,6.5
140,6.4
141,5.5
142,6.0
143,5.9
144,6.7
145,6.9
146,6.4
147,5.8
148,5.3
149,6.4
150,6.0
151,5.5
152,6.7
153,6.8
154,7.1
155,5.9
156,7.3
157,5.6
158,7.4
159,6.8
160,7.6
161,5.3
162,4.9
163,7.0
164,6.3
165,5.3
166,5.4
167,5.7
168,5.9
169,6.6
170,6.0
171,6.9
172,6.1
173,5.8
174,6.1
175,6.0
176,7.3
177,6.1
178,6.6
179,6.5
180,7.3
181,6.9
182,7.0
183,7.4
184,6.8
185,6.2
186,6.3
187,6.4
188,6.2
189,5.6
190,6.7
191,7.7
192,6.3
193,5.0
194,6.2
195,6.1
196,6.7
197,7.5
198,5.4
199,7.5
200,6.6
201,6.5
202,6.3
203,6.8
204,7.1
205,7.0
206,5.6
207,7.1
208,6.4
209,6.0
210,4.2
211,6.2
212,6.2
213,5.9
214,6.2
215,5.4
216,7.2
217,5.2
218,5.9
219,5.2
220,6.3
221,5.4
222,6.4
223,6.3
224,5.7
225,5.7
226,4.9
227,5.9
228,6.4
229,7.1
230,6.4
231,7.5
232,6.3
233,6.3
234,6.8
235,5.0
236,5.8
237,6.0
238,5.8
239,7.3
240,5.7
241,5.8
242,4.4
243,6.3
244,6.0
245,6.0
246,6.8
247,6.4
248,6.5
249,6.2
250,7.0
251,4.9
252,5.5
253,6.1
254,5.5
255,5.7
256,5.9
257,6.6
258,5.5
259,4.1
260,6.6
261,6.4
262,8.0
263,5.7
264,6.7
265,4.9
266,6.7
267,6.6
268,5.8
269,6.7
270,7.6
271,6.5
272,3.7
273,6.1
274,7.9
275,7.1
276,7.4
277,7.3
278,5.6
279,7.7
280,6.5
281,7.4
282,6.8
283,6.2
284,5.4
285,6.1
286,5.6
287,7.8
288,6.8
289,7.2
290,6.1
291,6.4
292,4.9
293,6.4
294,6.4
295,6.0
296,5.5
297,7.3
298,7.9
299,5.2
300,6.7
301,6.6
302,6.5
303,4.2
304,5.6
305,7.2
306,5.3
307,6.1
308,5.5
309,3.6
310,6.5
311,4.4
312,6.4
313,6.5
314,7.1
315,6.0
316,7.1
317,7.1
318,5.9
319,5.4
320,7.2
321,5.6
322,7.3
323,5.4
324,7.0
325,6.2
326,6.7
327,6.6
328,7.6
329,8.1
330,8.0
331,5.2
332,5.7
333,5.9
334,5.7
335,7.0
336,6.3
337,5.2
338,5.8
339,7.4
340,5.7
341,6.0
342,6.9
343,7.3
344,6.3
345,6.4
346,6.3
347,6.5
348,6.5
349,7.0
350,5.6
351,7.9
352,7.6
353,6.5
354,7.2
355,6.9
356,7.0
357,5.3
358,6.7
359,5.8
360,6.7
361,5.5
362,5.6
363,6.8
364,5.2
365,7.2
366,5.6
367,6.2
368,5.9
369,5.5
370,6.7
371,5.9
372,6.8
373,5.7
374,6.5
375,6.9
376,5.2
377,5.9
378,6.1
379,6.6
380,7.3
381,5.4
382,6.7
383,6.1
384,7.5
385,5.9
386,7.2
387,6.2
388,7.2
389,5.6
390,6.8
391,6.6
392,6.3
393,5.1
394,5.8
395,6.7
396,6.7
397,6.2
398,6.5
399,6.1
400,6.9
401,7.2
402,6.4
403,6.1
404,7.3
405,6.1
406,6.7
407,6.9
408,5.5
409,7.3
410,5.5
411,7.2
412,5.4
413,4.7
414,5.4
415,6.6
416,6.0
417,6.7
418,4.9
419,5.9
420,6.5
421,7.3
422,5.7
423,6.4
424,6.0
425,6.7
426,6.9
427,6.2
428,6.6
429,6.3
430,7.1
431,5.8
432,5.9
433,6.4
434,6.2
435,5.4
436,5.8
437,6.0
438,6.3
439,7.8
440,5.3
441,6.0
442,6.8
443,5.9
444,7.3
445,6.3
446,6.5
447,6.3
448,6.7
449,6.6
450,5.3
451,5.2
452,6.5
453,5.6
454,5.2
455,6.5
456,7.4
457,5.6
458,5.2
459,7.4
460,5.3
461,5.0
462,6.2
463,8.0
464,6.7
465,7.0
466,5.8
467,5.9
468,6.1
469,5.9
470,6.8
471,5.2
472,5.6
473,6.1
474,6.4
475,6.7
476,5.9
477,6.9
478,5.8
479,5.2
480,3.0
481,5.6
482,5.1
483,5.4
484,6.1
485,5.2
486,5.7
487,5.4
488,6.0
489,7.3
490,4.8
491,5.2
492,5.3
493,7.7
494,8.0
495,5.8
496,6.4
497,6.7
498,6.5
499,4.1
500,6.2
501,7.6
502,5.7
503,3.9
504,5.9
505,5.7
506,7.0
507,6.7
508,6.2
509,6.6
510,7.4
511,6.8
512,6.4
513,6.9
514,6.5
515,6.6
516,6.5
517,4.7
518,4.3
519,7.3
520,6.0
521,7.0
522,5.7
523,5.9
524,6.5
525,5.8
526,6.6
527,5.4
528,6.9
529,6.4
530,5.7
531,7.1
532,5.8
533,6.3
534,6.2
535,5.9
536,6.4
537,5.7
538,6.2
539,6.3
540,5.0
541,6.1
542,5.8
543,4.3
544,5.7
545,6.9
546,6.4
547,5.9
548,5.8
549,5.8
550,5.9
551,5.4
552,5.7
553,6.5
554,6.2
555,4.9
556,7.7
557,6.6
558,6.9
559,6.6
560,4.5
561,6.9
562,6.2
563,5.4
564,6.4
565,6.7
566,6.6
567,5.7
568,5.8
569,5.8
570,6.4
571,7.9
572,6.6
573,6.6
574,5.8
575,6.5
576,5.3
577,5.5
578,5.4
579,6.7
580,6.2
581,6.3
582,5.5
583,7.6
584,6.0
585,7.0
586,5.8
587,7.1
588,5.8
589,6.2
590,6.0
591,7.1
592,7.0
593,5.2
594,5.4
595,5.0
596,5.2
597,6.1
598,6.0
599,5.9
600,6.1
601,3.4
602,4.3
603,5.5
604,5.9
605,5.9
606,5.1
607,5.7
608,4.6
609,6.7
610,4.4
611,5.9
612,5.8
613,6.7
614,7.1
615,5.4
616,6.2
617,6.9
618,5.7
619,5.4
620,7.3
621,6.3
622,6.5
623,5.5
624,5.5
625,6.0
626,6.6
627,5.0
628,7.9
629,6.1
630,6.1
631,7.1
632,5.3
633,6.7
634,7.9
635,7.3
636,5.5
637,7.1
638,6.3
639,6.5
640,6.3
641,6.2
642,7.3
643,6.3
644,6.1
645,5.7
646,6.0
647,5.9
648,6.5
649,5.9
650,7.1
651,6.0
652,6.7
653,5.9
654,5.7
655,6.4
656,6.1
657,5.6
658,6.0
659,6.5
660,6.0
661,6.1
662,8.3
663,6.7
664,5.4
665,4.9
666,5.0
667,6.7
668,4.8
669,6.3
670,5.3
671,6.7
672,7.1
673,5.9
674,6.1
675,7.6
676,6.5
677,6.4
678,5.9
679,5.3
680,6.1
681,6.5
682,4.3
683,5.8
684,7.6
685,5.9
686,5.5
687,7.0
688,6.1
689,6.9
690,8.2
691,5.6
692,5.6
693,7.9
694,7.3
695,6.6
696,6.1
697,7.8
698,6.8
699,5.6
700,6.6
701,5.0
702,6.6
703,5.9
704,6.0
705,5.3
706,5.9
707,5.7
708,6.4
709,5.8
710,6.5
711,6.6
712,6.8
713,6.7
714,7.0
715,5.3
716,6.2
717,6.3
718,5.6
719,6.7
720,6.2
721,4.3
722,7.3
723,4.9
724,7.3
725,4.5
726,5.6
727,5.5
728,6.5
729,6.1
730,6.7
731,6.1
732,5.9
733,5.9
734,5.8
735,5.3
736,5.6
737,5.9
738,6.4
739,5.8
740,5.9
741,6.9
742,6.6
743,6.3
744,7.5
745,5.3
746,6.0
747,6.2
748,4.6
749,7.0
750,6.7
751,5.7
752,5.1
753,5.8
754,5.6
755,6.1
756,5.8
757,6.6
758,6.2
759,5.8
760,5.7
761,5.9
762,6.0
763,6.6
764,6.3
765,7.4
766,5.1
767,4.7
768,5.4
769,6.6
770,6.5
771,6.1
772,5.7
773,6.3
774,7.0
775,4.9
776,6.0
777,6.2
778,5.0
779,5.3
780,5.7
781,6.0
782,4.7
783,5.4
784,4.1
785,6.7
786,6.0
787,6.8
788,7.4
789,4.9
790,7.4
791,6.2
792,6.5
793,4.4
794,5.7
795,5.7
796,4.9
797,5.1
798,6.1
799,5.8
800,5.9
801,7.2
802,5.5
803,6.4
804,6.0
805,4.7
806,5.5
807,5.8
808,6.0
809,8.2
810,5.5
811,6.6
812,6.7
813,6.9
814,5.4
815,6.4
816,5.4
817,6.0
818,7.6
819,5.9
820,6.0
821,7.1
822,5.6
823,7.0
824,7.7
825,6.1
826,5.9
827,6.4
828,7.7
829,6.0
830,7.6
831,6.1
832,6.3
833,6.2
834,5.8
835,5.7
836,6.3
837,5.7
838,6.2
839,5.9
840,6.7
841,6.4
842,7.0
843,5.3
844,6.0
845,6.2
846,5.1
847,5.4
848,6.4
849,7.3
850,5.3
851,5.7
852,7.0
853,6.6
854,5.4
855,6.1
856,5.2
857,5.7
858,6.2
859,4.2
860,6.9
861,7.1
862,7.3
863,5.3
864,6.2
865,7.5
866,5.2
867,7.1
868,6.1
869,5.4
870,6.5
871,3.5
872,5.7
873,5.5
874,7.4
875,7.4
876,5.4
877,6.3
878,6.7
879,7.2
880,6.8
881,5.9
882,5.4
883,7.7
884,6.7
885,5.6
886,6.4
887,5.7
888,5.1
889,7.2
890,5.9
891,6.9
892,7.8
893,6.1
894,5.1
895,6.1
896,5.3
897,5.1
898,5.6
899,7.3
900,6.5
901,6.6
902,6.7
903,6.3
904,7.2
905,7.0
906,6.0
907,5.6
908,6.6
909,7.1
910,6.3
911,7.0
912,7.2
913,6.4
914,6.2
915,6.9
916,5.8
917,5.6
918,7.3
919,6.7
920,5.0
921,6.5
922,5.9
923,5.5
924,5.4
925,7.0
926,5.2
927,5.2
928,7.0
929,6.3
930,6.8
931,5.5
932,7.7
933,6.0
934,6.2
935,5.1
936,6.0
937,5.7
938,6.3
939,5.9
940,6.3
941,7.0
942,7.3
943,5.6
944,6.4
945,6.0
946,7.5
947,6.3
948,6.1
949,6.1
950,6.8
951,5.8
952,5.5
953,6.2
954,7.2
955,5.8
956,6.1
957,6.1
958,6.1
959,4.5
960,4.4
961,6.3
962,5.9
963,6.2
964,6.3
965,4.4
966,5.0
967,5.8
968,6.0
969,6.0
970,6.0
971,5.9
972,6.0
973,6.2
974,6.1
975,6.0
976,5.6
977,7.6
978,7.1
979,6.6
980,7.3
981,5.4
982,6.3
983,7.2
984,5.8
985,6.2
986,5.2
987,5.8
988,5.9
989,5.8
990,5.5
991,6.5
992,6.0
993,5.2
994,5.6
995,5.6
996,5.9
997,4.7
998,5.0
999,5.4
1000,5.3
1001,3.9
1002,5.7
1003,6.2
1004,7.2
1005,6.9
1006,7.6
1007,6.5
1008,6.6
1009,6.5
1010,6.5
1011,4.3
1012,6.6
1013,6.1
1014,6.0
1015,7.1
1016,6.0
1017,5.6
1018,6.6
1019,6.9
1020,6.1
1021,6.5
1022,5.7
1023,6.6
1024,5.9
1025,6.6
1026,6.5
1027,7.2
1028,7.7
1029,4.6
1030,5.7
1031,6.3
1032,5.5
1033,6.8
1034,7.0
1035,4.4
1036,6.2
1037,6.4
1038,6.6
1039,6.5
1040,5.0
1041,6.1
1042,5.8
1043,6.1
1044,5.8
1045,6.0
1046,6.3
1047,6.4
1048,7.0
1049,6.3
1050,5.6
1051,7.9
1052,7.3
1053,6.9
1054,5.4
1055,6.5
1056,6.5
1057,7.3
1058,5.9
1059,4.7
1060,5.8
1061,7.0
1062,6.8
1063,6.6
1064,5.5
1065,5.9
1066,6.2
1067,5.6
1068,6.6
1069,4.3
1070,6.1
1071,6.6
1072,6.4
1073,6.1
1074,5.9
1075,6.2
1076,6.1
1077,6.0
1078,5.5
1079,6.5
1080,7.1
1081,6.7
1082,6.2
1083,5.4
1084,4.7
1085,5.5
1086,5.3
1087,6.5
1088,6.1
1089,4.7
1090,5.8
1091,7.1
1092,6.7
1093,6.0
1094,6.3
1095,6.6
1096,5.0
1097,6.3
1098,6.4
1099,4.0
1100,6.0
1101,2.3
1102,7.1
1103,7.2
1104,5.5
1105,7.3
1106,6.3
1107,5.5
1108,6.9
1109,6.4
1110,6.4
1111,5.6
1112,7.0
1113,6.0
1114,6.6
1115,5.3
1116,6.6
1117,6.8
1118,6.3
1119,6.7
1120,7.0
1121,6.5
1122,5.8
1123,5.4
1124,6.5
1125,6.7
1126,6.0
1127,6.1
1128,6.5
1129,6.1
1130,5.4
1131,5.9
1132,5.6
1133,5.7
1134,4.0
1135,7.0
1136,7.2
1137,5.3
1138,6.1
1139,6.3
1140,6.8
1141,6.8
1142,5.3
1143,6.6
1144,5.3
1145,7.7
1146,6.2
1147,5.6
1148,6.9
1149,6.8
1150,6.7
1151,6.2
1152,7.4
1153,6.3
1154,5.2
1155,4.7
1156,7.0
1157,6.0
1158,7.4
1159,6.7
1160,7.0
1161,7.1
1162,6.2
1163,5.3
1164,5.7
1165,7.1
1166,5.9
1167,7.1
1168,6.6
1169,6.8
1170,7.0
1171,5.4
1172,6.7
1173,7.1
1174,6.1
1175,7.1
1176,7.2
1177,7.2
1178,6.2
1179,6.5
1180,5.7
1181,7.5
1182,5.4
1183,5.8
1184,6.1
1185,6.2
1186,5.4
1187,7.2
1188,6.0
1189,5.9
1190,5.9
1191,6.2
